,series_id,year,value,Month,lfst_code,periodicity_code,series_title,activity_code,ages_code,class_code,duration_code,education_code,entr_code,expr_code,indy_text
101,LNS11000001,2018,86160.0,2,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
102,LNS11000001,2018,86099.0,3,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
103,LNS11000001,2018,86194.0,4,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
104,LNS11000001,2018,86212.0,5,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
105,LNS11000001,2018,86116.0,6,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
106,LNS11000001,2018,85889.0,7,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
107,LNS11000001,2018,85875.0,8,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
108,LNS11000001,2018,85936.0,9,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
109,LNS11000001,2018,86152.0,10,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
110,LNS11000001,2018,86232.0,11,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
111,LNS11000001,2018,86406.0,12,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
112,LNS11000001,2019,86543.0,1,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
113,LNS11000001,2019,86399.0,2,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
114,LNS11000001,2019,86441.0,3,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
115,LNS11000001,2019,86233.0,4,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
116,LNS11000001,2019,86412.0,5,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
117,LNS11000001,2019,86549.0,6,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
118,LNS11000001,2019,86793.0,7,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
119,LNS11000001,2019,86824.0,8,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
120,LNS11000001,2019,86855.0,9,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
121,LNS11000001,2019,86901.0,10,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
122,LNS11000001,2019,87104.0,11,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
123,LNS11000001,2019,87049.0,12,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
124,LNS11000001,2020,87088.0,1,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
125,LNS11000001,2020,87008.0,2,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
126,LNS11000001,2020,86123.0,3,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
127,LNS11000001,2020,83139.0,4,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
128,LNS11000002,2015,73432.0,1,10,M,(Seas) Civilian Labor Force Level - Women,0,00,0,0,00,0,0,All Industries
129,LNS11000002,2015,73191.0,2,10,M,(Seas) Civilian Labor Force Level - Women,0,00,0,0,00,0,0,All Industries
130,LNS11000002,2015,73155.0,3,10,M,(Seas) Civilian Labor Force Level - Women,0,00,0,0,00,0,0,All Industries
131,LNS11000002,2015,73363.0,4,10,M,(Seas) Civilian Labor Force Level - Women,0,00,0,0,00,0,0,All Industries
132,LNS11000002,2015,73702.0,5,10,M,(Seas) Civilian Labor Force Level - Women,0,00,0,0,00,0,0,All Industries
133,LNS11000002,2015,73570.0,6,10,M,(Seas) Civilian Labor Force Level - Women,0,00,0,0,00,0,0,All Industries
134,LNS11000002,2015,73397.0,7,10,M,(Seas) Civilian Labor Force Level - Women,0,00,0,0,00,0,0,All Industries
